label,stratum,auroc,ci_lo,ci_hi,n,positive_rate
belief,<0.3,0.8062953995157385,0.687494399641577,0.9023300203077405,80,0.2625
belief,0.3-0.6,0.9660695468914646,0.9381215756451042,0.9885496959978022,203,0.35960591133004927
belief,>0.6,0.9927884615384615,0.986487466965792,0.9975676023796948,588,0.38095238095238093
groundtruth,<0.3,0.8782093482554312,0.7952563580610512,0.9498762034406565,80,0.3875
groundtruth,0.3-0.6,0.9635308744301699,0.9349664690294247,0.9867017823791963,203,0.37438423645320196
groundtruth,>0.6,0.9859242166626184,0.9737441495441039,0.9953898790426787,588,0.391156462585034
