label,stratum,auroc,ci_lo,ci_hi,n,positive_rate
belief,<0.3,0.8030669895076675,0.6745375752409001,0.9104544243070362,80,0.2625
belief,0.3-0.6,0.9396206533192835,0.905089277268246,0.9709378114397795,203,0.35960591133004927
belief,>0.6,0.9825353218210361,0.969654706090553,0.9929102025959746,588,0.38095238095238093
groundtruth,<0.3,0.728768926925609,0.6038013263332412,0.8551704949428452,80,0.3875
groundtruth,0.3-0.6,0.9172192291753004,0.8718843231801765,0.9558007637863701,203,0.37438423645320196
groundtruth,>0.6,0.9744474131649259,0.9598747325947518,0.9863808416934393,588,0.391156462585034
