label,stratum,auroc,ci_lo,ci_hi,n,positive_rate
belief,<0.3,0.7159420289855073,0.6097951402239389,0.8142862176583106,109,0.3669724770642202
belief,0.3-0.6,0.8792079207920792,0.808119976316195,0.9413371684390662,141,0.28368794326241137
belief,>0.6,0.9973222124670764,0.9942264918827812,0.9995983935742971,353,0.24079320113314448
groundtruth,<0.3,0.7663934426229507,0.6796939984576994,0.8472406462585033,109,0.5596330275229358
groundtruth,0.3-0.6,0.8518518518518517,0.7774441889994677,0.9234577662903134,141,0.3829787234042553
groundtruth,>0.6,0.995478489903424,0.9909535120944851,0.9987658749678274,353,0.24079320113314448
