cell,mode,sim_subtype,scenario,topic,style,c_mean,c_all,lie_rate,honest_cell
simulation|counterfactual_world|everyday|plain,simulation,counterfactual_world,counterfactual,everyday,plain,0.5806464632207261,0.545455768480076,0.9393939393939394,honest|-|everyday|plain
simulation|counterfactual_world|geography|plain,simulation,counterfactual_world,counterfactual,geography,plain,0.7341052627212243,0.6729298241611223,0.9166666666666666,honest|-|geography|plain
simulation|counterfactual_world|history|plain,simulation,counterfactual_world,counterfactual,history,plain,0.6622095787875175,0.5418078371897872,0.8181818181818182,honest|-|history|plain
simulation|counterfactual_world|science|plain,simulation,counterfactual_world,counterfactual,science,plain,0.6800015033951794,0.6411442746297407,0.9428571428571428,honest|-|science|plain
simulation|fictional_frame|everyday|plain,simulation,fictional_frame,roleplay,everyday,plain,0.49511035756895794,0.12002675335005038,0.24242424242424243,honest|-|everyday|plain
simulation|fictional_frame|geography|plain,simulation,fictional_frame,roleplay,geography,plain,0.7199358008747948,0.22997949194611497,0.3194444444444444,honest|-|geography|plain
simulation|fictional_frame|history|plain,simulation,fictional_frame,roleplay,history,plain,0.6529816685168451,0.12861760137453007,0.19696969696969696,honest|-|history|plain
simulation|fictional_frame|science|plain,simulation,fictional_frame,roleplay,science,plain,0.6200652765784636,0.14172920607507739,0.22857142857142856,honest|-|science|plain
