label,stratum,auroc,ci_lo,ci_hi,n,positive_rate
belief,<0.3,0.9695652173913044,0.8946898496240602,1.0,33,0.30303030303030304
belief,0.3-0.6,0.9926131117266851,0.9770298812857722,1.0,76,0.25
belief,>0.6,0.9942765997372867,0.9875438996586862,0.9990421194337176,365,0.2
groundtruth,<0.3,0.9346153846153846,0.838343100398054,0.9953703703703703,33,0.6060606060606061
groundtruth,0.3-0.6,0.9463340891912321,0.8767277639821659,0.9903846153846153,76,0.35526315789473684
groundtruth,>0.6,0.9913419913419914,0.9755033936109656,1.0,365,0.21095890410958903
