cell,reason
dissimulation|-|everyday|plain,train: n0=34 n1=2 (<3)
dissimulation|-|geography|plain,train: n0=36 n1=0 (<3)
dissimulation|-|history|plain,train: n0=34 n1=1 (<3)
dissimulation|-|science|plain,train: n0=36 n1=0 (<3)
simulation|persona|everyday|plain,train: n0=68 n1=0 (<3)
simulation|persona|geography|plain,train: n0=71 n1=1 (<3)
simulation|persona|history|plain,train: n0=67 n1=1 (<3)
simulation|persona|science|plain,train: n0=72 n1=0 (<3)
simulation|preference_no_truth|none|plain,train: n0=0 n1=0 (<3)
